11-14 17-15-37: Training starting...
11-14 17-15-40: New best reward 14.0 (-100.0%) at episode 0, saving model...
11-14 17-15-40: New best reward 32.0 (+128.6%) at episode 1, saving model...
11-14 17-15-40: New best reward 38.0 (+18.8%) at episode 2, saving model...
11-14 17-15-40: New best reward 45.0 (+18.4%) at episode 20, saving model...
11-14 17-15-40: New best reward 49.0 (+8.9%) at episode 44, saving model...
11-14 17-15-40: New best reward 54.0 (+10.2%) at episode 68, saving model...
11-14 17-15-40: New best reward 58.0 (+7.4%) at episode 133, saving model...
11-14 17-15-40: New best reward 66.0 (+13.8%) at episode 294, saving model...
11-14 17-15-43: New best reward 75.0 (+13.6%) at episode 1514, saving model...
11-14 17-15-43: New best reward 91.0 (+21.3%) at episode 1550, saving model...
11-14 17-15-43: New best reward 100.0 (+9.9%) at episode 1561, saving model...
11-14 17-15-43: New best reward 102.0 (+2.0%) at episode 1592, saving model...
11-14 17-15-44: New best reward 125.0 (+22.5%) at episode 1686, saving model...
11-14 17-15-44: New best reward 145.0 (+16.0%) at episode 1767, saving model...
11-14 17-15-47: New best reward 177.0 (+22.1%) at episode 2210, saving model...
11-14 17-15-55: New best reward 192.0 (+8.5%) at episode 3557, saving model...
11-14 17-15-55: New best reward 196.0 (+2.1%) at episode 3584, saving model...
11-14 17-15-59: New best reward 219.0 (+11.7%) at episode 4308, saving model...
11-14 17-16-02: New best reward 255.0 (+16.4%) at episode 4659, saving model...
11-14 17-16-05: New best reward 274.0 (+7.5%) at episode 5189, saving model...
11-14 17-16-10: New best reward 283.0 (+3.3%) at episode 5949, saving model...
11-14 17-16-22: New best reward 297.0 (+4.9%) at episode 8104, saving model...
11-14 17-16-25: New best reward 435.0 (+46.5%) at episode 8472, saving model...
11-14 17-16-26: New best reward 855.0 (+96.6%) at episode 8553, saving model...
11-14 17-16-45: New best reward 927.0 (+8.4%) at episode 10389, saving model...
11-14 17-16-45: New best reward 947.0 (+2.2%) at episode 10412, saving model...
11-14 17-16-46: New best reward 1242.0 (+31.2%) at episode 10413, saving model...
11-14 17-16-46: New best reward 1581.0 (+27.3%) at episode 10415, saving model...
11-14 17-16-48: New best reward 1906.0 (+20.6%) at episode 10487, saving model...
11-14 17-16-51: New best reward 3297.0 (+73.0%) at episode 10517, saving model...
11-14 17-17-28: New best reward 3781.0 (+14.7%) at episode 11725, saving model...
11-14 17-17-47: New best reward 21267.0 (+462.5%) at episode 13263, saving model...
11-14 17-17-58: New best reward 100000.0 (+370.2%) at episode 13264, saving model...
