11-15 15-19-28: Training starting...
11-15 15-19-29: New best reward -6.9 (-100.0%) at episode 0, saving model...
11-15 15-19-29: New best reward -6.3 (-8.7%) at episode 1, saving model...
11-15 15-19-30: New best reward -5.1 (-19.0%) at episode 10, saving model...
11-15 15-19-32: New best reward -4.5 (-11.8%) at episode 45, saving model...
11-15 15-20-04: New best reward -3.9 (-13.3%) at episode 456, saving model...
11-15 15-20-05: New best reward -2.7 (-30.8%) at episode 473, saving model...
11-15 15-20-10: New best reward -0.9 (-66.7%) at episode 534, saving model...
11-15 15-27-07: New best reward 0.9 (-200.0%) at episode 5867, saving model...
11-15 15-34-31: New best reward 1.2 (+33.3%) at episode 11339, saving model...
11-15 15-34-35: New best reward 2.1 (+75.0%) at episode 11389, saving model...
11-15 15-45-02: New best reward 3.1 (+47.6%) at episode 18877, saving model...
11-15 15-56-50: New best reward 3.4 (+9.7%) at episode 27030, saving model...
11-15 15-59-11: New best reward 4.5 (+32.4%) at episode 28632, saving model...
11-15 15-59-15: New best reward 6.0 (+33.3%) at episode 28682, saving model...
11-15 16-06-23: New best reward 6.1 (+1.7%) at episode 33412, saving model...
11-15 16-29-51: New best reward 7.1 (+16.4%) at episode 48533, saving model...
11-15 16-33-46: New best reward 7.2 (+1.4%) at episode 50969, saving model...
11-15 16-37-51: New best reward 7.5 (+4.2%) at episode 53428, saving model...
11-15 16-37-52: New best reward 10.5 (+40.0%) at episode 53432, saving model...
11-15 16-42-03: New best reward 11.6 (+10.5%) at episode 55839, saving model...
11-15 16-42-38: New best reward 16.5 (+42.2%) at episode 56176, saving model...
11-15 16-48-08: New best reward 16.6 (+0.6%) at episode 59261, saving model...
11-15 17-19-26: New best reward 17.2 (+3.6%) at episode 76458, saving model...
11-15 17-51-13: New best reward 22.2 (+29.1%) at episode 93347, saving model...
11-15 19-30-03: New best reward 28.9 (+30.2%) at episode 141768, saving model...
11-15 20-42-05: New best reward 33.5 (+15.9%) at episode 174967, saving model...
